tic,gvkey,cusip,conm,ggroup,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,busdesc
ADSK,1878,52769106,AUTODESK INC,4510.0,451030.0,45.0,45103010.0,519130.0,7370.0,185.0,940.0,"Autodesk, Inc. operates as a software design and services company worldwide."
ADT,32930,00090Q103,ADT INC,2020.0,202010.0,20.0,20201080.0,561621.0,7381.0,,,"ADT Inc. provides security and automation solutions for homes and businesses in the United States and Canada. It provides a range of fire detection, fire suppression, video surveillance, and access control systems to residential, commercial, and multi-site customers."
AE,1121,006351308,ADAMS RESOURCES & ENERGY INC,1010.0,101020.0,10.0,10102030.0,424720.0,5172.0,355.0,925.0,"Adams Resources & Energy, Inc., through its subsidiaries, primarily engages in the marketing, transportation, and storage of crude oil in the United States."
AEE,10860,023608102,AMEREN CORP,5510.0,551030.0,55.0,55103010.0,2211.0,4931.0,705.0,700.0,"Ameren Corporation, together with its subsidiaries, operates as a public utility holding company in the United States. It operates through four segments: Ameren Missouri, Ameren Illinois Electric Distribution, Ameren Illinois Natural Gas, and Ameren Transmission."
AEP,1440,025537101,AMERICAN ELECTRIC POWER CO,5510.0,551010.0,55.0,55101010.0,2211.0,4911.0,705.0,700.0,"American Electric Power Company, Inc., an electric public utility holding company, engages in the generation, transmission, and distribution of electricity for sale to retail and wholesale customers in the United States."
AES,24216,00130H105,AES CORP (THE),5510.0,551050.0,55.0,55105010.0,22111.0,4991.0,720.0,700.0,"The AES Corporation operates as a diversified power generation and utility company. It owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries."
AET,1177,00817Y108,AETNA INC,3510.0,351020.0,35.0,35102030.0,524114.0,6324.0,287.0,905.0,"Aetna Inc. operates as a health care benefits company in the United States. It operates through three segments: Health Care, Group Insurance, and Large Case Pensions."
AFL,1449,001055102,AFLAC INC,4030.0,403010.0,40.0,40301020.0,524114.0,6321.0,825.0,800.0,"Aflac Incorporated, through its subsidiaries, provides supplemental health and life insurance products. It operates through two segments, Aflac Japan and Aflac U.S."
AGN,27845,G0177J108,ALLERGAN PLC,3520.0,352020.0,35.0,35202010.0,325412.0,2834.0,283.0,905.0,"Allergan plc, a pharmaceutical company, develops, manufactures, and commercializes branded pharmaceutical, device, biologic, surgical, and regenerative medicine products worldwide. The company operates in three segments: US Specialized Therapeutics, US General Medicine, and International."
AIG,1487,026874784,AMERICAN INTERNATIONAL GROUP,4030.0,403010.0,40.0,40301030.0,524126.0,6331.0,830.0,800.0,"American International Group, Inc. provides insurance products for commercial, institutional, and individual customers in North America and internationally."
AIV,30490,03748R747,APARTMENT INVST & MGMT CO,6010.0,601010.0,60.0,60101060.0,531110.0,6798.0,850.0,800.0,Aimco is a real estate investment trust focused on the ownership and management of quality apartment communities located in select markets in the United States.
AIZ,157057,04621X108,ASSURANT INC,4030.0,403010.0,40.0,40301030.0,524126.0,6351.0,,,"Assurant, Inc., together with its subsidiaries, provides lifestyle and housing solutions that support, protect, and connect consumer purchases in North America, Latin America, Europe, and the Asia Pacific."
AJG,4973,363576109,ARTHUR J GALLAGHER & CO,4030.0,403010.0,40.0,40301010.0,524210.0,6411.0,330.0,800.0,"Arthur J. Gallagher & Co., together with its subsidiaries, provides insurance brokerage, consulting, and third party claims settlement and administration services in the United States, Australia, Bermuda, Canada, the Caribbean, New Zealand, and the United Kingdom."
AKAM,125595,00971T101,AKAMAI TECHNOLOGIES INC,4510.0,451020.0,45.0,45102030.0,519130.0,7370.0,185.0,940.0,"Akamai Technologies, Inc. provides cloud services for delivering, optimizing, and securing content and business applications over the Internet in the United States and internationally."
AKS,29968,001547108,AK STEEL HOLDING CORP,1510.0,151040.0,15.0,15104050.0,331110.0,3312.0,460.0,970.0,"AK Steel Holding Corporation, through its subsidiary, AK Steel Corporation, produces flat-rolled carbon, and stainless and electrical steel products in the United States and internationally."
ALB,29751,012653101,ALBEMARLE CORP,1510.0,151010.0,15.0,15101050.0,325180.0,2810.0,167.0,970.0,"Albemarle Corporation develops, manufactures, and markets engineered specialty chemicals worldwide. The company operates in three segments: Lithium, Bromine Specialties, and Catalysts."
ALGN,141384,016255101,ALIGN TECHNOLOGY INC,3510.0,351010.0,35.0,35101020.0,339114.0,3843.0,300.0,905.0,"Align Technology, Inc., a medical device company, designs, manufactures, and markets Invisalign clear aligners and iTero intraoral scanners and services for orthodontists and general practitioner dentists, and restorative and aesthetic dentistry."
ALK,1230,011659109,ALASKA AIR GROUP INC,2030.0,203020.0,20.0,20302010.0,481111.0,4512.0,605.0,600.0,"Alaska Air Group, Inc., through its subsidiaries, provides passenger and cargo air transportation services. The company operates through three segments: Mainline, Regional, and Horizon."
ALL,28349,020002101,ALLSTATE CORP,4030.0,403010.0,40.0,40301040.0,524126.0,6331.0,835.0,800.0,"The Allstate Corporation, through its subsidiaries, provides property and casualty, and other insurance products in the United States and Canada. The company operates through Allstate Protection, Service Businesses, Allstate Life, and Allstate Benefits segments."
ALLE,316056,G0176J109,ALLEGION PLC,2010.0,201020.0,20.0,20102010.0,332510.0,3420.0,,,Allegion plc manufactures and sells mechanical and electronic security products and solutions worldwide.
ALTR,32530,021369103,ALTAIR ENGINEERING INC,4510.0,451030.0,45.0,45103010.0,511210.0,7372.0,,,"Altair Engineering Inc., together with its subsidiaries, provides software and cloud solutions worldwide. The company operates through two segments, Software and Client Engineering Services."
ALXN,62263,015351109,ALEXION PHARMACEUTICALS INC,3520.0,352010.0,35.0,35201010.0,325414.0,2836.0,147.0,905.0,"Alexion Pharmaceuticals, Inc. develops and commercializes various therapeutic products."
AMAT,1704,38222105,APPLIED MATERIALS INC,4530.0,453010.0,45.0,45301010.0,333242.0,3559.0,247.0,940.0,"Applied Materials, Inc. provides manufacturing equipment, services, and software to the semiconductor, display, and related industries. It operates through three segments: Semiconductor Systems, Applied Global Services, and Display and Adjacent Markets."
AMCR,100243,G0250X107,AMCOR PLC,1510.0,151030.0,15.0,15103020.0,326112.0,2670.0,210.0,970.0,"Amcor plc develops, manufactures, and sells various packaging products for food, beverage, medical and pharmaceutical, fresh produce, snack food, personal care, and other industries worldwide. It operates through two segments, Flexibles and Rigid Packaging."
AMD,1161,007903107,ADVANCED MICRO DEVICES,4530.0,453010.0,45.0,45301020.0,334413.0,3674.0,235.0,940.0,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. The company operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom."
AME,1598,031100100,AMETEK INC,2010.0,201040.0,20.0,20104010.0,334513.0,3823.0,355.0,925.0,"AMETEK, Inc. manufactures and sells electronic instruments and electromechanical devices worldwide. It operates through two segments, Electronic Instruments (EIG) and Electromechanical (EMG)."
AMG,65886,008252108,AFFILIATED MANAGERS GRP INC,4020.0,402030.0,40.0,40203010.0,523920.0,6282.0,823.0,800.0,"Affiliated Managers Group, Inc., through its affiliates, operates as an asset management company providing investment management services to mutual funds, institutional clients, and high net worth individuals in the United States. It provides advisory or subadvisory services to mutual funds."
AMGN,1602,031162100,AMGEN INC,3520.0,352010.0,35.0,35201010.0,325414.0,2836.0,147.0,905.0,"Amgen Inc. discovers, develops, manufactures, and delivers human therapeutics worldwide. It focuses on inflammation, oncology/hematology, bone health, cardiovascular disease, nephrology and neuroscience areas."
AMP,164708,03076C106,AMERIPRISE FINANCIAL INC,4020.0,402030.0,40.0,40203010.0,523110.0,6211.0,,,"Ameriprise Financial, Inc., through its subsidiaries, provides various financial products and services to individual and institutional clients in the United States and internationally."
AMT,105365,03027X100,AMERICAN TOWER CORP,6010.0,601010.0,60.0,60101080.0,531120.0,6798.0,463.0,974.0,"American Tower, one of the largest global REITs, is a leading independent owner, operator and developer of multitenant communications real estate with a portfolio of approximately 181,000 communications sites."
AMZN,64768,023135106,AMAZON.COM INC,2550.0,255020.0,25.0,25502020.0,454110.0,5961.0,447.0,976.0,"Amazon.com, Inc. engages in the retail sale of consumer products and subscriptions in North America and internationally. The company operates through three segments: North America, International, and Amazon Web Services (AWS)."
AN,9063,05329W102,AUTONATION INC,2550.0,255040.0,25.0,25504050.0,441110.0,5500.0,449.0,976.0,"AutoNation, Inc., through its subsidiaries, operates as an automotive retailer in the United States. The company operates through three segments: Domestic, Import, and Premium Luxury."
ANDV,10466,03349M105,ANDEAVOR,1010.0,101020.0,10.0,10102030.0,324110.0,2911.0,390.0,935.0,"Andeavor, through its subsidiaries, operates as an independent petroleum refining, logistics, and marketing company in the United States. The company operates in three segments: Marketing, Logistics, and Refining."
ANET,20748,040413106,ARISTA NETWORKS INC,4520.0,452010.0,45.0,45201020.0,334118.0,3576.0,,,"Arista Networks, Inc. develops, markets, and sells cloud networking solutions in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific."
ANF,63643,002896207,ABERCROMBIE & FITCH  -CL A,2550.0,255040.0,25.0,25504010.0,448140.0,5651.0,452.0,976.0,"Abercrombie & Fitch Co., through its subsidiaries, operates as a specialty retailer. The company operates in two segments, Hollister and Abercrombie."
ANSS,63080,03662Q105,ANSYS INC,4510.0,451030.0,45.0,45103010.0,511210.0,7372.0,185.0,940.0,"ANSYS, Inc. develops and markets engineering simulation software and services worldwide."
ANTM,145046,036752103,ANTHEM INC,3510.0,351020.0,35.0,35102030.0,524114.0,6324.0,287.0,905.0,"Anthem, Inc., through its subsidiaries, operates as a health benefits company in the United States. It operates through three segments: Commercial & Specialty Business, Government Business, and Other."
AON,3221,G0403H108,AON PLC,4030.0,403010.0,40.0,40301010.0,524210.0,6411.0,330.0,800.0,"Aon plc, a professional services firm, provides advice and solutions to clients focused on risk, retirement, and health worldwide."
AOS,9771,831865209,SMITH (A.O.),2010.0,201020.0,20.0,20102010.0,335220.0,3630.0,220.0,925.0,"A. O. Smith Corporation manufactures and markets residential and commercial gas and electric water heaters, boilers, tanks, and water treatment products in North America, China, Europe, and India. It operates through two segments, North America and Rest of World."
APA,1678,037411105,APACHE CORP,1010.0,101020.0,10.0,10102020.0,2111.0,1311.0,380.0,935.0,"Apache Corporation, an independent energy company, explores for, develops, and produces natural gas, crude oil, and natural gas liquids (NGLs)."
APC,11923,032511107,ANADARKO PETROLEUM CORP,1010.0,101020.0,10.0,10102020.0,2111.0,1311.0,380.0,935.0,"Anadarko Petroleum Corporation engages in the exploration, development, production, and marketing of oil and gas properties. It operates through three segments: Exploration and Production, WES Midstream, and Other Midstream."
APD,1209,009158106,AIR PRODUCTS & CHEMICALS INC,1510.0,151010.0,15.0,15101040.0,325120.0,2810.0,160.0,970.0,"Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, equipment, and services worldwide."
APH,14282,032095101,AMPHENOL CORP,4520.0,452030.0,45.0,45203015.0,334417.0,3678.0,220.0,925.0,"Amphenol Corporation, together with its subsidiaries, primarily designs, manufactures, and markets electrical, electronic, and fiber optic connectors in the United States, China, and internationally."
APOL,31122,037604105,APOLLO EDUCATION GROUP INC,2530.0,253020.0,25.0,25302010.0,611310.0,8200.0,175.0,976.0,"Apollo Education Group, Inc. provides private education services in the United States and internationally. The company offers online and on-campus undergraduate, graduate, certificate, and non-degree educational programs and services to unemployed and employed learners."
APTV,118122,G6095L109,APTIV PLC,2510.0,251010.0,25.0,25101010.0,336320.0,3714.0,130.0,976.0,"Aptiv PLC designs, manufacturers, and sells vehicle components worldwide. The company provides electrical, electronic, and safety technology solutions to the automotive and commercial vehicle markets."
ARE,64821,015271109,ALEXANDRIA R E EQUITIES INC,6010.0,601010.0,60.0,60101040.0,531120.0,6798.0,850.0,800.0,"Alexandria Real Estate Equities, Inc."
ARG,12950,009363102,AIRGAS INC,1510.0,151010.0,15.0,15101040.0,423830.0,5084.0,160.0,970.0,"Airgas, Inc. supplies industrial, medical, and specialty gases; and welding equipment and related products. The company operates through two segments, Distribution and All Other Operations."
ARNC,35978,03966V107,ARCONIC CORP,1510.0,151040.0,15.0,15104010.0,3313.0,3350.0,,,"Arconic Corporation manufactures and sells aluminum sheets, plates, extrusions, and architectural products in the United States, Hungary, Russia, China, France, the United Kingdom, and internationally."
ASH,1794,44186104,ASHLAND GLOBAL HOLDINGS INC,1510.0,151010.0,15.0,15101050.0,3252.0,2820.0,382.0,935.0,"Ashland Global Holdings Inc. provides specialty chemical solutions worldwide. The company's Specialty Ingredients segment offers products, technologies, and resources for solving formulation and product-performance challenges."
AT,162346,04878Q863,ATLANTIC POWER CORP,5510.0,551050.0,55.0,55105010.0,22111.0,4991.0,,,Atlantic Power Corporation owns and operates a fleet of power generation assets in the United States and Canada.
ATI,10405,01741R102,ALLEGHENY TECHNOLOGIES INC,1510.0,151040.0,15.0,15104050.0,331491.0,3350.0,460.0,970.0,"Allegheny Technologies Incorporated manufactures and sells specialty materials and components worldwide. The company operates in two segments, High Performance Materials & Components and Advanced Alloys & Solutions."
ATO,4383,049560105,ATMOS ENERGY CORP,5510.0,551020.0,55.0,55102010.0,221210.0,4924.0,710.0,700.0,"Atmos Energy Corporation, together with its subsidiaries, engages in the regulated natural gas distribution, and pipeline and storage businesses in the United States. It operates through Distribution, and Pipeline and Storage segments."
ATVI,180405,00507V109,ACTIVISION BLIZZARD INC,5020.0,502020.0,50.0,50202020.0,511210.0,7372.0,,,"Activision Blizzard, Inc., together with its subsidiaries, develops and distributes content and services on video game consoles, personal computers (PC), and mobile devices in the Americas, Europe, the Middle East, Africa, and the Asia Pacific."
AVB,29875,053484101,AVALONBAY COMMUNITIES INC,6010.0,601010.0,60.0,60101060.0,531110.0,6798.0,850.0,800.0,"As of September 30, 2020, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 86,676 apartment homes in 11 states and the District of Columbia, of which 19 communities were under development and one community was under redevelopment."
AVGO,180711,11135F101,BROADCOM INC,4530.0,453010.0,45.0,45301020.0,334413.0,3674.0,,,"Broadcom Inc. designs, develops, and supplies a range of semiconductor devices with a focus on complex digital and mixed signal complementary metal oxide semiconductor based devices and analog III-V based products worldwide."
AVP,1920,54303102,AVON PRODUCTS,3030.0,303020.0,30.0,30302010.0,325620.0,2844.0,215.0,978.0,"Avon Products, Inc. manufactures, markets, and sells beauty and related products in Europe, the Middle East, Africa, south Latin America, north Latin America, and the Asia Pacific."
AVY,1913,53611109,AVERY DENNISON CORP,1510.0,151030.0,15.0,15103020.0,322220.0,2670.0,357.0,925.0,Avery Dennison Corporation produces and sells pressure-sensitive materials worldwide.
AW,22140,019589308,ALLIED WASTE INDUSTRIES INC,2020.0,202010.0,20.0,20201050.0,562111.0,4953.0,405.0,925.0,"As of December 5, 2008, Allied Waste Industries, Inc. was acquired by Republic Services, Inc. Allied Waste Industries, Inc. operates as a nonhazardous solid waste management company in the United States and Puerto Rico."
AWK,179437,030420103,AMERICAN WATER WORKS CO INC,5510.0,551040.0,55.0,55104010.0,221310.0,4941.0,,,"American Water Works Company, Inc., through its subsidiaries, provides water and wastewater services in the United States. It offers water and wastewater services to approximately 1,700 communities in 16 states serving approximately 3.4 million active customers."
AXP,1447,025816109,AMERICAN EXPRESS CO,4020.0,402020.0,40.0,40202010.0,522210.0,6141.0,850.0,800.0,"American Express Company, together with its subsidiaries, provides charge and credit payment card products, and travel-related services worldwide. The company operates through three segments: Global Consumer Services Group, Global Commercial Services, and Global Merchant and Network Services."
AYE,1279,017361106,ALLEGHENY ENERGY INC,5510.0,551010.0,55.0,55101010.0,2211.0,4911.0,705.0,700.0,"As of January 1, 2014, Allegheny Energy Inc. was acquired by FirstEnergy Corp. Allegheny Energy, Inc. owns & operates electric generation facilities & delivers electric services to customers in Pennsylvania, West Virginia, Maryland & Virginia."
AYI,146017,00508Y102,ACUITY BRANDS INC,2010.0,201040.0,20.0,20104010.0,335122.0,3640.0,220.0,925.0,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally."
AZO,23809,053332102,AUTOZONE INC,2550.0,255040.0,25.0,25504050.0,441310.0,5531.0,449.0,976.0,"AutoZone, Inc. retails and distributes automotive replacement parts and accessories. The company offers various products for cars, sport utility vehicles, vans, and light trucks, including new and remanufactured automotive hard parts, maintenance items, accessories, and non-automotive products."
BA,2285,097023105,BOEING CO,2010.0,201010.0,20.0,20101010.0,336411.0,3721.0,110.0,925.0,"The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sales, services, and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems, and services worldwide."
BAC,7647,060505104,BANK OF AMERICA CORP,4010.0,401010.0,40.0,40101010.0,522110.0,6020.0,810.0,800.0,"Bank of America Corporation, through its subsidiaries, provides banking and financial products and services for individual consumers, small- and middle-market businesses, institutional investors, large corporations, and governments worldwide."
BAX,2086,071813109,BAXTER INTERNATIONAL INC,3510.0,351010.0,35.0,35101010.0,325412.0,2834.0,300.0,905.0,"Baxter International Inc., through its subsidiaries, develops and provides a portfolio of healthcare products. The company operates through North and South America; Europe, Middle East and Africa; and Asia-Pacific segments."
BBBY,25338,075896100,BED BATH & BEYOND INC,2550.0,255040.0,25.0,25504060.0,442299.0,5700.0,449.0,976.0,"Bed Bath & Beyond Inc., together with its subsidiaries, operates a chain of retail stores."
BBY,2184,086516101,BEST BUY CO INC,2550.0,255040.0,25.0,25504020.0,443142.0,5731.0,426.0,976.0,"Best Buy Co., Inc. retails technology products in the United States, Canada, and Mexico. The company operates in two segments, Domestic and International."
BC,2444,117043109,BRUNSWICK CORP,2520.0,252020.0,25.0,25202010.0,333618.0,3510.0,475.0,976.0,"Brunswick Corporation designs, manufactures, and markets recreation products worldwide."
BCR,2044,067383109,BARD (C.R.) INC,3510.0,351010.0,35.0,35101010.0,339112.0,3841.0,300.0,905.0,"C. R. Bard, Inc. designs, manufactures, packages, distributes, and sells medical, surgical, diagnostic, and patient care devices worldwide."
BDK,2255,091797100,BLACK & DECKER CORP,2520.0,252010.0,25.0,25201040.0,333991.0,3540.0,270.0,976.0,"The Black & Decker Corporation designs and manufactures power tools, outdoor yard care equipment, and home products."
BDX,2111,075887109,BECTON DICKINSON & CO,3510.0,351010.0,35.0,35101010.0,339112.0,3841.0,300.0,905.0,"Becton, Dickinson and Company develops, manufactures, and sells medical supplies, devices, laboratory equipment, and diagnostic products worldwide."
BEAM,35714,07373V105,BEAM THERAPEUTICS INC,3520.0,352010.0,35.0,35201010.0,325414.0,2836.0,,,"Beam Therapeutics Inc., a biotechnology company, engages in developing precision genetic medicines for patients suffering from serious diseases in the United States."
BEN,4885,354613101,FRANKLIN RESOURCES INC,4020.0,402030.0,40.0,40203010.0,523920.0,6282.0,823.0,800.0,"Franklin Resources, Inc. is a publicly owned asset management holding company. Through its subsidiaries, the firm provides its services to individuals, institutions, pension plans, trusts, and partnerships."
BHF,31774,10922N103,BRIGHTHOUSE FINANL INC,4030.0,403010.0,40.0,40301020.0,524113.0,6311.0,,,"Brighthouse Financial, Inc. provides annuity and life insurance products in the United States. It operates through three segments: Annuities, Life, and Run-off."
BHI,1976,57224107,BAKER HUGHES INC,1010.0,101010.0,10.0,10101020.0,213111.0,1381.0,395.0,935.0,"Baker Hughes Holdings LLC operates as an energy technology company. The company operates through four segments: Oilfield Services, Oilfield Equipment, Turbomachinery & Process Solutions, and Digital Solutions."
BIG,12123,089302103,BIG LOTS INC,2550.0,255030.0,25.0,25503020.0,452319.0,5331.0,432.0,976.0,"Big Lots, Inc., through its subsidiaries, operates as a retailer in the United States."
BIIB,24468,09062X103,BIOGEN INC,3520.0,352010.0,35.0,35201010.0,325414.0,2836.0,147.0,905.0,"Biogen Inc. discovers, develops, manufactures, and delivers therapies for treating neurological and neurodegenerative diseases worldwide."
BIO,2220,090572207,BIO-RAD LABORATORIES INC,3520.0,352030.0,35.0,35203010.0,334516.0,3826.0,230.0,940.0,"Bio-Rad Laboratories, Inc. develops, manufactures, and markets products and solutions for the life science research and clinical diagnostic markets in Europe, the United States, Canada, and Latin America."
BK,2019,64058100,BANK OF NEW YORK MELLON CORP,4020.0,402030.0,40.0,40203010.0,522110.0,6020.0,815.0,800.0,"The Bank of New York Mellon Corporation provides a range of financial products and services to in the United States and internationally. The company operates through two segments, Investment Management and Investment Services."
BKNG,119314,09857L108,BOOKING HOLDINGS INC,2550.0,255020.0,25.0,25502020.0,519130.0,7370.0,185.0,940.0,Booking Holdings Inc. provides travel and restaurant online reservation and related services worldwide.
BKR,32106,05722G100,BAKER HUGHES CO,1010.0,101010.0,10.0,10101020.0,213112.0,1389.0,,,"Baker Hughes Company provides a portfolio of technologies and services worldwide. The company operates through four segments: Oilfield Services (OFS), Oilfield Equipment (OFE), Turbomachinery & Process Solutions (TPS), and Digital Solutions (DS)."
BLK,124434,09247X101,BLACKROCK INC,4020.0,402030.0,40.0,40203010.0,523920.0,6282.0,823.0,800.0,"BlackRock, Inc. is a publicly owned investment manager."
BLL,1988,58498106,BALL CORP,1510.0,151030.0,15.0,15103010.0,332431.0,3411.0,205.0,925.0,"Ball Corporation supplies aluminum packaging products to the beverage, personal care, automotive, paint, healthcare, and household products industries."
BMC,14650,055921100,BMC SOFTWARE INC,4510.0,451030.0,45.0,45103020.0,511210.0,7372.0,185.0,940.0,"BMC Software, Inc. develops software that provides system and service management solutions for enterprises in the United States and internationally. It operates in two business units, Enterprise Service Management (ESM) and Mainframe Service Management (MSM)."
BMET,2230,090613100,BIOMET INC,3510.0,351010.0,35.0,35101010.0,339113.0,3842.0,300.0,905.0,"Biomet, Inc. designs, manufactures, and markets surgical and non-surgical products primarily used by orthopedic surgeons and other musculoskeletal medical specialists in the United States, Europe, and internationally."
BMS,2154,081437105,BEMIS CO INC,1510.0,151030.0,15.0,15103020.0,326112.0,2670.0,210.0,970.0,"Bemis Company, Inc. manufactures and sells packaging products in the United States, Brazil, other Americas, Europe, and the Asia-Pacific. It operates through three segments: U.S. Packaging, Latin America Packaging, and Rest of World Packaging."
BMY,2403,110122108,BRISTOL-MYERS SQUIBB CO,3520.0,352020.0,35.0,35202010.0,325412.0,2834.0,280.0,905.0,"Bristol-Myers Squibb Company discovers, develops, licenses, manufactures, and markets biopharmaceutical products worldwide. It offers products in hematology, oncology, cardiovascular, and immunology therapeutic classes."
BNI,2490,12189T104,BURLINGTON NORTHERN SANTA FE,2030.0,203040.0,20.0,20304010.0,482111.0,4011.0,610.0,600.0,"Burlington Northern Santa Fe, LLC, through its subsidiaries, provides freight rail transportation services in North America."
BOL,2085,071707103,BAUSCH & LOMB HLDGS  -REDH,3510.0,351010.0,35.0,35101020.0,325412.0,2834.0,300.0,905.0,"Bausch & Lomb Incorporated develops, manufactures, and markets eye care products under the brand names, such as ULTRA, BiotrueONEday, PureVision, SofLens, Boston, and Optima."
